,name,birthplace,birth_place
20524,Alasdair Fraser & Jody Stecher,"Clackmannan, Scotland",
20525,Coro Bajo Cuerda,,
20526,Pato Banton,"Brixton, London",
20527,Tinsley Ellis,"Atlanta, Georgia (US state)|Georgia, United States",
20528,Joseph Mohr,Salzburg,
20529,Kenny Barron Trio,,
20530,The Columbia Ballroom Orchestra,,
20531,Sha-Lor,,
20532,Act,,
20533,Henry Threadgill,Chicago,
20534,Женя Гречухина,,
20535,Tina Sani,"Dhaka, East Pakistan (now Bangladesh)",
20536,Mylon & Broken Heart,,
20537,The Mysterious Art,,
20538,Apollonia,,
20539,Conjunto Chaney,,
20540,Татьяна Саванова,,
20541,JUN SKY WALKER(S),,
20542,Up Front,,
20543,Brocas Helm,,
20544,Chip Ford,,
20545,Daniel Lanois,Hull,
20546,Johnny Madsen,Thyborøn,
20547,The Switch Combo,,
20548,馬兆駿,,
20549,Turtle Island String Quartet,,
20550,Franz Danzi,Schwetzingen,
20551,Tarja Ylitalo,,
20552,Mosley & The B-Men,,
20553,Rance Allen,,
20554,Jagath Wickramasinghe,"Kolonnawa, Sri Lanka",
20555,Yousef Al Badgi,,
20556,5 Star Moet,,
20557,John Kilzer,,
20558,Prophet,,
20559,The Steeles,,
20560,Beatrice,,
20561,Peter Weekers & The Broadway Stage Orchestra,,
20562,Celestial Navigations,United States,
20563,Eli Luzon,,
20564,Lev Atovmyan,,
20565,Martha Carter,,
20566,Too Much Joy,"Scarsdale, New York,  United States",
20567,Ben Selvin and His Orchestra,,
20568,The Dogs D'Amour,"London, England",
20569,Loui,,
20570,Adolf Wiklund,Långserud socken,
20571,Tshala Muana,Lubumbashi,
20572,The New Christs,,
20573,DJ Scott La Rock,,
20574,Neyyatinkara Vasudevan,,
20575,Jessita Reyes,,
20576,Russ Barenberg,U.S.,
20577,Maddalena Casulana,Tuscany,
20578,Shenandoah Ensemble,,
20579,John Patitucci,Brooklyn,
20580,Didjits,,
20581,Frederick Caracas,,
20582,Gues,,
20583,José Alberto Mugrabi,,
20584,Native Flute Ensemble,,
20585,Lakim Shabazz,"Newark, New Jersey, US",
20586,Tam Tam Go!,,
20587,Avner Gadasi,,
20588,Razorcuts,,
20589,Grasshopper,,
20590,Orquesta Florida,,
20591,Patti Cathcart,,
20592,The Weathermen,,
20593,Slave Raider,,
20594,Walter Wolfman Washington,,
20595,William Henry Harris,"Fulham, London",
20596,Somos Musica del Callao,,
20597,Frantic Flintstones,,
20598,Ranking Roger,Birmingham,
20599,Super Brujo,,
