,name,birthplace
199,H. MILLARD,NaN
200,Thomas Hastings,NaN
201,Arcangelo Corelli,NaN
202,Mukesh,NaN
203,Furry Lewis,Greenwood
204,George Warren,NaN
205,Dueto America,NaN
206,The Highway Q.C.'s,NaN
207,Don Gibson,Shelby
208,Marilyn Monroe,Los Angeles
209,Bob Thompson,San Jose
210,John Bacchus Dykes,Kingston upon Hull
211,Martin Luther,Lutherstadt Eisleben
212,Bert Kaempfert Swing Band,NaN
213,Bob Newhart,NaN
214,Henry Mancini,Cleveland
215,Anup Ghoshal,NaN
216,Burl Ives,Jasper County
217,James Ramsey Murray,NaN
218,William Croft,Warwickshire
219,Fairuz,NaN
220,John Hughes,Llandre
221,Irving Burgie,NaN
222,Joseph Barnby,York
223,Jim and Jesse and the Virginia Boys,NaN
224,The Al Cohn - Zoot Sims Quintet,NaN
225,John Williams,Buckinghamshire
226,Si Zentner,New York City
227,Franz Liszt,Raiding
228,Los Muñequitos De Matanzas,NaN
229,Kishore Kumar,Khandwa
230,Gene Ammons,NaN
231,Jackie McLean,New York City
232,Ramito,NaN
233,The Belairs,NaN
234,Jimmy Bryant,NaN
235,George A. Minor,NaN
236,Marilyn Horne,NaN
237,Dr. William S. Pitts,NaN
238,Sergei Rachmaninoff,Q4440581
239,La Lupe,Santiago de Cuba
240,Rose Maddox,Boaz
241,Frederick Loewe,Berlin
242,Carl Maria von Weber,Eutin
243,Lata Mangeshkar,Indore
244,Benny Carter,Harlem
245,Art Pepper Quintet,NaN
246,Little Willie John,NaN
247,The Philadelphia Brass Ensemble,NaN
248,Gilbert Bécaud,Toulon
249,Jean-Joseph Mouret,Avignon
250,FRIEDRICH F. FLEMMING,NaN
251,Sergei Prokofiev,Sontsivka
252,"Lord Myrie, Cecil Mitchel, and James Convery",NaN
253,Marian McPartland,Slough
254,Alan Braden,NaN
255,The Dave Brubeck Quartet,NaN
256,Elizabeth Knight and The Harvesters,NaN
257,Count Basie,Red Bank
258,Wolfgang Amadeus Mozart,Salzburg
259,Julissa,Chicago
260,The Barry Sisters,NaN
261,A.L. Lloyd,NaN
262,Claude Debussy,Saint-Germain-en-Laye
263,R.H. Harris & His Gospel Paraders,NaN
264,Betty Carter,Flint
265,Rahsaan Roland Kirk,Columbus
266,Philly Joe Jones,NaN
267,Gustav Mahler,Kaliště
268,The Latin Jazz Quintet,NaN
269,Frank DeVol & The Rainbow Strings,NaN
270,Raymond Scott & His Orchestra,NaN
271,Judy Garland,NaN
272,Anita Lindblom,NaN
273,Lurlean Hunter,NaN
274,Dave Brubeck,Concord
275,Giovanni Gabrieli,Venice
276,Georges Bizet,Rue Louise-Émilie-de-La-Tour-d'Auvergne
277,Gioachino Rossini,Pesaro
278,Jimmy Scott,NaN
279,Laurie Johnson,Hampstead
280,Nelson Gonçalves,Santana do Livramento
281,The Ray Conniff Singers,NaN
282,Bobby Marchan,NaN
283,A.C. Smyth,NaN
284,Ben Webster,Kansas City
285,Thelonious Monk Quartet,NaN
286,Kenny Burrell,Detroit
287,Sun Ra,Birmingham
288,Billy Mure,NaN
289,Béla Bartók,Sânnicolau Mare
290,Jonathan Winters,Dayton
291,George Jones,Belfast
292,Bernard de la Monnoye,Dijon
293,Bhupinder Singh,NaN
294,Los Loud Jets,NaN
295,Mel Carter,NaN
296,Spoken Word,NaN
297,Wynton Kelly,NaN
298,Mitchell Torok,NaN
299,Wayne Shorter,Newark
300,Buddy Greco,NaN
301,Robert DeCormier,NaN
302,Cliff Richard,Lucknow
303,Memphis Slim,Memphis
304,Gerry Mulligan,New York City
305,Peabo Bryson,Greenville
306,Edwin Eugene Bagley,NaN
307,John Ondrasik,NaN
308,Johannes Brahms,Hamburg
309,The Stanley Brothers,NaN
310,Marilyn Monroe & Chorus,NaN
311,Henry John Gauntlett,NaN
312,The Valentinos,NaN
313,Domenico Scarlatti,Kingdom of Naples
314,101 Strings Orchestra,NaN
315,Original Broadway Cast of 'The Unsinkable Molly Brown',NaN
316,Carol Burnett,San Antonio
317,Thomas Arne,London
318,Teatro Disquinho,NaN
319,Pete Seeger and Bill MacAdoo,NaN
320,Modesto Duran & Orchestra,NaN
321,L.c. Cooke,NaN
322,The New Lost City Ramblers,NaN
323,Gustav Holst,Cheltenham
324,Sonny Red,NaN
325,Josef Franz Wagner,NaN
326,Jeri Southern,NaN
327,Manna Dey,Kolkata
328,Big Bill Broonzy,Scott County
329,Said El Ghamidi,NaN
330,The Modern Jazz Quartet,NaN
331,Maurice Ravel,Ciboure
332,Hermes Nye,NaN
333,Peggy Seeger,NaN
334,Glenn Gould,Toronto
335,Manuel Rosenthal,Paris
336,Los Hooligans,NaN
337,Los Corraleros De Majagual,NaN
338,Oscar Brand,NaN
339,Sister Rosetta Tharpe,NaN
340,Maynard Ferguson,NaN
341,Franz Xaver Gruber,Hochburg-Ach
342,Horace Parlan,NaN
343,Sandy Nelson,NaN
344,Jerry Silverman,NaN
345,Ramsey Lewis,NaN
346,Louis Prima,New Orleans
347,Womack Brothers,NaN
348,Cisco Houston,NaN
349,Dinah Shore,Franklin County
350,Joseph Lamb,Montclair
351,Juan Silos Jr.,NaN
352,Edward Elgar,Broadheath
353,Leda Moreno,Mexico City
354,Philadelphia Orchestra,NaN
355,Diahann Carroll,NaN
356,Sue Raney,NaN
357,Marlene Dietrich,Rote Insel
358,Harper Lee,Monroeville
359,June Christy,NaN
360,Ottorino Respighi,Bologna
361,Engelbert Humperdinck,Chennai
362,Julio Gutierrez,NaN
363,Alberto Beltran,NaN
364,Duke Pearson,Atlanta
365,Jeremiah Clarke,London
366,Mahalia Jackson; Orchestra & choir conducted by Percy Faith,NaN
367,Pietro Locatelli,Bergamo
368,Giuseppe Torelli,Recetto
369,Elmer Bernstein,New York City
370,Tito Rodriguez & His Orchestra,NaN
371,Elza Soares,NaN
372,Shirley Temple,NaN
373,Bhimsen Joshi,Ron
374,Frédéric Chopin,Żelazowa Wola
375,Giuseppe Verdi,Le Roncole
376,Billy Preston,Houston
377,Merle Travis,Muhlenberg County
378,Sid Phillips,NaN
379,Mose Allison Trio,NaN
380,Arthur Fiedler,Boston
381,Buster Larsen,NaN
382,Shelly Manne and His Men,NaN
383,Mississippi John Hurt,Carroll County
384,Johnnie Morisette,NaN
385,Lee Morgan,Philadelphia
386,Franz Joseph Haydn,NaN
387,Luis Alberto del Parana y Los Paraguayos,NaN
388,Alan Lomax,Austin
389,Booker Little,Memphis
390,A. L. Lloyd and Alf Edwards,NaN
391,Malvina Reynolds,San Francisco
392,Horace Parlan Quintet,NaN
393,Luz Morales,NaN
394,Niccolò Paganini,Genoa
395,Eric Winstone,London
396,Hector Berlioz,La Côte-Saint-André
397,The Gay Poppers,NaN
398,Ghantasala,NaN
399,Dick Hyman,New York City
400,Frankie Vaughan,NaN
401,Ferde Grofé,New York City
402,Nelson Riddle,Oradell
403,Goiano,NaN
404,Jimmy Heath,Philadelphia
405,Diana Dors,Swindon
406,Tony Bennett,New York City
407,Bob Azzam,NaN
408,Johnny Mathis,NaN
409,Louis Edmonts,NaN
410,Ewan MacColl,Salford
411,Coleman Hawkins & Roy Eldridge,NaN
412,Chad Mitchell Trio,NaN
413,Geeta Dutt,NaN
414,Alfred Newman,New Haven
415,Hermanos Carrion,NaN
416,Gene McDaniels,Kansas City
417,Patsy Raye and the Beatniks,NaN
418,Boston Pops Orchestra,NaN
419,Wilbur De Paris,NaN
420,Little Ann,Chicago
421,Pete Seeger,New York City
422,Muslim Magomayev,Grozny
423,Karliene,NaN
424,Gary Hughes,Manchester
425,James Brown,Leeds
426,Antonio Vivaldi,Venice
427,Booker Ervin,Denison
428,Dave Van Ronk,NaN
429,Newport Jazz Festival All Stars,NaN
430,Oliver Nelson Sextet,NaN
431,Benjamin Britten,Lowestoft
432,Luiz Gonzaga,Exu
433,Barbara Cook,NaN
434,Carl Orff,Munich
435,Noor Jahan,NaN
436,Jean Ritchie,Viper
437,Rey Caney,Santiago de Cuba
438,Girolamo Frescobaldi,Ferrara
439,Anthony Lowry,NaN
440,Gerald Wiggins,NaN
441,Thomas Canning,Pennsylvania
442,Lord Invader,San Fernando
443,Sudhir Phadke,Kolhapur
444,George Shearing Quintet,NaN
445,Tennessee Ernie Ford,Bristol
446,The Four Lads; Orchestra conducted by Frank DeVol,NaN
447,Percy Faith & His Orchestra,NaN
448,John Lewis,Llanrhystud
449,Charles Ives,Danbury
450,The Statesmen quartet,NaN
451,Richard Wagner,Leipzig
452,Ray Price,New York City
453,Virgil Thomson,Kansas City
454,Lee Dorsey,NaN
455,Christchurch Festival Male Voice Choir,NaN
456,Louis Armstrong,New Orleans
457,Bonnie Guitar,Seattle
458,Armand Bégué,NaN
459,Max Roach,Newland
460,Curtis Fuller,Detroit
461,Carlos Galhardo,NaN
462,Paulinho Nogueira,Campinas
463,Sylvestre Méndez y Su Orquesta,NaN
464,The Four Lads,NaN
465,Art Farmer & Benny Golson Jazztet,NaN
466,Mateo Albéniz,Logroño
467,Jorge Juan Rodríguez,NaN
468,Asha Bhosle,Sangli
469,Memphis Slim and Willie Dixon,NaN
470,Odetta,Birmingham
471,The Fugitives,NaN
472,Ila Arun,NaN
473,Alan Hovhaness,Somerville
474,Paul Smith,Kansas City
475,The George Shearing Quintet And Orchestra,NaN
476,Groucho Marx,NaN
477,Marguerite Monnot,Decize
478,Korla Pandit,NaN
479,Orquestra Românticos de Cuba,NaN
480,Jim Steinman,Claremont
481,A. L. Lloyd,NaN
482,Johnny & The Hurricanes,NaN
483,Ennio Morricone,Rome
484,Maria Luisa Landin,NaN
485,Dmitri Shostakovich,Saint Petersburg
486,Julian Priester,Chicago
487,Édith Piaf,Paris
488,Lefty Frizzell,Corsicana
489,Lasse Pihlajamaa,NaN
490,Manuel de Falla,Cádiz
491,Redvers Kyle,NaN
492,Lightnin' Hopkins,Centerville
493,Linda Lawson,NaN
494,Lennox Berkeley,NaN
495,Woody Herman & His Orchestra,NaN
496,Houari Benchenet,NaN
497,John Irving,Exeter
498,Roger Edens,Hillsboro
499,P. B. Sreenivas,NaN
500,Flatt & Scruggs,NaN
501,Ewan MacColl and Peggy Seeger,NaN
502,Original Broadway Cast of 'Tenderloin',NaN
503,Jimmy Van Heusen,Syracuse
504,Hridaynath Mangeshkar,Mumbai
505,Pete Seeger with Memphis Slim and Willie Dixon,NaN
506,Agostinho Dos Santos,NaN
507,Unspecified,NaN
508,Paul Weston,Springfield
509,Alberto Castelar y su Conjunto,NaN
510,The Marathons,NaN
511,Domenico Cimarosa,Aversa
512,Cleveland Crochet,NaN
513,T. M. Soundararajan,NaN
514,Rolando Alarcon,NaN
515,Jikki,NaN
516,Giovanni Fusco,Sant'Agata de' Goti
517,Mack Owen,NaN
518,Wilbert Harrison,NaN
519,Tomaso Antonio Vitali,Bologna
520,Webley Edwards,NaN
521,Glasser,Boston
522,Brownie McGhee,NaN
523,Umm Kulthum,NaN
524,Sarah Vaughan,NaN
525,King Curtis,NaN
526,Johnny Tillotson,Jacksonville
527,George Gershwin,Brooklyn
528,Benny Berman,NaN
529,S. D. Burman,NaN
530,Roberto Faz Y Su Conjunto,NaN
531,Coro Testaccio,NaN
532,Souad Mohamed,NaN
533,Randy Van Horne Singers,NaN
534,Seamus Ennis,NaN
535,Arthur Shepherd,Paris
536,Dimitri Tiomkin,Kremenchuk
537,Amilcare Ponchielli,Paderno Ponchielli
538,Mieczyslaw Fogg,NaN
539,Mose Allison,Tippo
540,Vários: Radamés Gnatalli / Simone Moraes / Disquinho,NaN
541,Aram Khachaturian,Kojori
542,Ambroise Thomas,Metz
543,Mabel Mercer,NaN
544,Ronnie Hawkins,Huntsville
545,Dizzy Reece,NaN
546,Paulo Molin,NaN
547,Ron Hussmann,NaN
548,A. M. Rajah,Chittorgarh
549,Jerry Silverman and The Harvesters,NaN
550,June Bateman,NaN
551,Suman Kalyanpur,Dhaka
552,"Eddie ""Lockjaw"" Davis",NaN
553,The Red Army Choir,NaN
554,Gloria Lynne,New York City
555,Bruce Buckley,NaN
556,Alfredo Catalani,Lucca
557,Y. Zaray,NaN
558,The Tempests,NaN
559,Count Basie Orchestra,NaN
560,Howard Hanson,Wahoo
561,"Ethel Raim, Elizabeth Knight, and Joyce Gluck",NaN
562,Yves Montand,Monsummano Terme
563,Hank Thompson,Waco
564,Sangeetha Kalanidhi,NaN
565,Billy Eckstine,NaN
566,Carlos Gonzaga,NaN
567,Alan Pierce and The Tonekings,NaN
568,Paul Perryman,NaN
569,Francisco Alonso,Granada
570,Erika and Elsa Vopel,NaN
571,M. L. Vasanthakumari,NaN
572,Theodore Bikel,NaN
573,A Zillion Strings,NaN
574,Paul Hindemith,Hanau
575,Adam Faith,Acton
576,Engel Lund,NaN
577,Maysa,NaN
578,Eddie Lund and His Tahitians,NaN
579,Ирина Отиева,NaN
580,Richard Rodgers,Queens
581,Johann Strauss II,Neubau
582,Elmore James,Rankin County
583,The Beau-Marks,NaN
584,Dimitris Zaxos,NaN
585,Elizeth Cardoso,NaN
586,Abraham Sutzkever,Smarhon’
587,Escola de Samba Acadêmicos do Salgueiro,NaN
588,Thomas Schippers,Portage
589,Matty Matlock,NaN
590,Rudy Ventura,NaN
591,Adou Elanga,NaN
592,Dakota Staton,Pittsburgh
593,Лев Барашков,NaN
594,Cuarteto Leo,NaN
595,Carlo Rustichelli,Carpi
596,Sonny Wilson,NaN
597,Morris Schreiber,NaN
598,Gabriele Bellini,NaN
599,Chaim Ostrowsky,NaN
600,冉肖玲,NaN
601,Chinese instrumental ensemble,NaN
602,Rudolf Mauersberger,Mauersberg
603,Jorie Remus,NaN
604,Orxistriko,NaN
605,Raasche,NaN
606,Ramon Ropain,NaN
607,Phil Phillips,Lake Charles
608,Otto Hænning,NaN
609,Memo Salamanca And His Cha Cha Orchestra,NaN
610,Malik,Paris
611,Rachel Ataas,NaN
612,"Assam singers with percussion from Kohima, Naga Hills",NaN
613,Charlie Palmieri & His Orchestra,NaN
614,Miltos Alafropatis,NaN
615,Theodore Alevizos,NaN
616,Giacomo Puccini,Pescaglia
617,The Famous Davis Sisters,NaN
618,Giota Lidia,NaN
619,The Tarriers,NaN
620,Heyran Bêjan,NaN
621,Salim Raza,NaN
622,Suchitra Mitra,NaN
623,Father Tom Vaughn,NaN
624,Dimitris Vlaxopoulos,NaN
625,Helen Gene Purdy,NaN
626,Green Onion,NaN
627,Glenn Hardman And His Hammond Five,NaN
628,Gaetano Donizetti,Bergamo
629,Cantor Joseph Kanefsky,NaN
630,The Stewart Brothers,NaN
631,Ansamblul CCS,NaN
632,Modest Mussorgsky,NaN
633,Fotis Xalkiopoulos,NaN
634,Maurice Jarre,Lyon
635,Igor Stravinsky,Lomonosov
636,Irving Berlin,Talachyn
637,Jeremias Gotthelf,Murten
638,Ferdous Ara,Brahmanbaria
639,Dwijen Mukherjee,NaN
640,Lucie de Vienne Blanc,NaN
641,Jules Massenet,Saint-Étienne
642,Jimmy Hamilton And His Orchestra,NaN
643,The Charlie Shavers Quartet,NaN
644,Uri Zohar,NaN
645,Mort Sahl,Montreal
646,Armando Trovajoli,NaN
647,Papathanasiou Lampros,NaN
648,Celso Murilo,"Baependi, Minas Gerais"
649,Hugh Martin,Birmingham
650,La Famosa Orquesta de la Argentinidad,NaN
651,Paul Deveruex,NaN
652,Eléni Liápi,NaN
653,Gisele MacKenzie,NaN
654,Maurice Vander,NaN
655,Piero Umiliani,Florence
656,Ole Steenen,NaN
657,Padmapriya,NaN
658,Yusuf Azad Qawwal,NaN
659,Dimos Xolevas,NaN
660,John F.C. Richards,NaN
661,Mavis Rivers,NaN
662,Jimmy Witherspoon,NaN
663,Esfandiar Monfaredzadeh,Tehran
664,Lucky Thompson,Columbia
665,Rich Amerson,NaN
666,Sirkazhi Govindarajan,NaN
667,Nino Rota,Milan
668,Giorgos Trakis,NaN
669,Kaiti Grey,NaN
670,M. K. Thyagaraja Bhagavathar,NaN
671,George London,NaN
672,Leopold Stokowski,London
673,The Anonymous,NaN
674,Youcef,NaN
675,Les Brown & His Band Of Renown,NaN
676,Shyamal Mitra,Naihati
677,Mimis Koulouriotis,NaN
678,Sotiris Stasinopoulos,NaN
679,Per Nørgård,Gentofte Municipality
680,Mohammed El-Bakkar,NaN
681,Mona Bell,NaN
682,The Manhattan Pops,NaN
683,Roza Eskenazi,NaN
684,na Not Applicable,NaN
685,Cmiljic Nadezda,NaN
686,Panos Gavalas,NaN
687,Meena Kapoor,NaN
688,George Hall,NaN
689,Anton Bruckner,Ansfelden
690,Ronnie Sundin,NaN
691,Stilianos Mpellos,NaN
692,Michel LaRue,NaN
693,Clark Terry Septet,NaN
694,Maria Papadopoulou,NaN
695,TRIO LOJZETA SLAKA,NaN
