,name,birthplace
12277,M. O'Haughey,NaN
12278,South Shore Commission,NaN
12279,Pablo Milanés,Bayamo
12280,Preeti Sagar,NaN
12281,Phil Manzanera,London
12282,Billy Jackson Orchestra,NaN
12283,Aldo Nova,Montreal
12284,Dave Bartholomew,Edgard
12285,Mustard Seed Faith,NaN
12286,Semiha Yankı,NaN
12287,Sonia Silvestre,NaN
12288,Cesare Sterbini,Rome
12289,Barry Harris,Detroit
12290,Barbara Harris,NaN
12291,Hubert Sumlin,NaN
12292,Stella Parton,Sevierville
12293,Magnus Uggla,Stockholm
12294,Ripple,NaN
12295,Ted Lucas,NaN
12296,Cem Karaca,NaN
12297,Maggie and Terre Roche,NaN
12298,Redd Holt Unlimited,NaN
12299,Francois-Joseph Gossec,NaN
12300,Pauletta Washington,NaN
12301,Alberto Baldan Bembo,Milan
12302,Brighouse And Rastrick Brass Band,NaN
12303,Doug Firebaugh,NaN
12304,Count Ossie & The Mystic Revelation Of Rastafari,NaN
12305,Steve Goodman,Chicago
12306,Ram,NaN
12307,Super Boiro Band,NaN
12308,Michael Masser,Chicago
12309,Liberación,NaN
12310,Fox,NaN
12311,Pere Ubu,NaN
12312,Gönül Akkor,NaN
12313,The Highwaymen,NaN
12314,Jermaine Jackson,Gary
12315,Jan Tober,NaN
12316,Nikolai R. Pankratz,NaN
12317,Margaret Walker,Birmingham
12318,Flash Cadillac & The Continental Kids,NaN
12319,Karen Black,Park Ridge
12320,Gyedu-Blay Ambolley,Ghana
12321,Cate Brothers,NaN
12322,Biddu Orchestra,NaN
12323,Ed Trickett,NaN
12324,Ramses Shaffy,NaN
12325,Prairie Dawn,NaN
12326,Tito Allen,NaN
12327,Jose Mascolo,NaN
12328,The Modulations,NaN
12329,Takeshi Inomata,NaN
12330,Fluffy Hunter,NaN
12331,Larry Gatlin & The Gatlin Brothers,NaN
12332,Os Tincoãs,NaN
12333,Haris Alexiou,Thebes
12334,David Sanborn,NaN
12335,Intombi Zephepha,NaN
12336,Hydra,NaN
12337,Tina & Daddy,NaN
12338,Dan Hill,Toronto
12339,Jay Ungar,NaN
12340,Major Arcana,NaN
12341,Chico Che,Mexico City
12342,Grimethorpe Colliery Band,NaN
12343,Henry Mancini & His Concert Orchestra,NaN
12344,Conjunto Candela,NaN
12345,John Dankworth & his Orchestra,NaN
12346,Sylvia Plath,Boston
12347,Black Beauty,NaN
12348,Weyer and Roucher,NaN
12349,Phyllis Nelson,NaN
12350,Ultra High Frequency,NaN
12351,Cliff Halsam and John Millar,NaN
12352,Gilgamesh,NaN
12353,Palani Vaughan,NaN
12354,Bobby Rodriguez y La Compania,NaN
12355,劉家昌,NaN
12356,Steve Howe,London
12357,Tamezo Narita,NaN
12358,Naomi Shemer,Kvutzat Kinneret
12359,Mathz Ronnies,NaN
12360,The Twinkle Brothers,NaN
12361,Edward Gregson,Sunderland
12362,Los Rancheros de Río Grande,NaN
12363,Mahlathini,NaN
12364,Eloy,NaN
12365,Juice Newton,Lakehurst
12366,Cai Luong 1975,NaN
12367,Peter Zeugin,NaN
12368,Ramon Muntaner,Peralada
12369,Boston,NaN
12370,Arthur Louis,Jamaica
12371,Max Romeo,Saint James Parish
12372,Kauriga Balalaika Ensemble,NaN
12373,Septimus,NaN
12374,Milance Radosavljevic,NaN
12375,King Tubby & The Barrett Bros.,NaN
12376,Marc-Antoine Charpentier,Paris
12377,Eddie Money,Brooklyn
12378,David Fanshawe,Devon
12379,Piston Mahlathini,NaN
12380,Little Esther And Little Willie Littlefield,NaN
12381,Gilbert Vinter,Lincoln
12382,First Choice,NaN
12383,Split Enz,NaN
12384,Tehua,NaN
12385,Andrew Gold,Burbank
12386,Alan Hull,Benwell
12387,Double Exposure,NaN
12388,Marinemusikkorps Ostsee,NaN
12389,Ray Conniff; Vocal Solo by Jackie Ward,NaN
12390,Pierre Bachelet,Paris
12391,Carol Douglas,NaN
12392,Stephen Schlaks,New York City
12393,Barry & Eileen,NaN
12394,Billy Harper,NaN
12395,Lukas Brodie,NaN
12396,Randy Travis,Marshville
12397,Daniela Casa,Rome
12398,Muhal Richard Abrams,Chicago
12399,La Bottega Dell'Arte,NaN
12400,Gary Toms Empire,NaN
12401,John Tropea,NaN
12402,"Don ""Sugarcane"" Harris",NaN
12403,Staffan Westerberg,Luleå
12404,Martti Siiriäinen,NaN
12405,Parable,NaN
12406,Al Hirt and His Band,NaN
12407,Søren Kragh-Jacobsen,Copenhagen
12408,Mario Felipe Ruiz,NaN
12409,Ahuva Ozeri,Tel Aviv
12410,Rance Allen Group,NaN
12411,Paddy Keenan,NaN
12412,劉文正,NaN
12413,Nadi Qamar,NaN
12414,Ovidi Montllor,Alcoy
12415,Liberacion De Virgilio Canales,NaN
12416,King Tubby,Kingston
12417,Mac & Katie Kissoon,NaN
12418,Shigeru Suzuki,Setagaya-ku
12419,Maggie Bell,NaN
12420,Ronnie Hazlehurst,Dukinfield
12421,Sonny Criss,NaN
12422,Stuðmenn,NaN
12423,The Rance Allen Group,NaN
12424,John Hanlon,NaN
12425,"""Ipi Ntombi"" 1975 Original Cast",NaN
12426,Songs of Texas,NaN
12427,Cheap Trick,NaN
12428,Pauli Granfeltin yhtye,NaN
12429,Lloyd Chandler,NaN
12430,李香蘭,NaN
12431,Timothy Brown,Salisbury
12432,Henri Texier,Paris
12433,Amancio Prada,Ponferrada
12434,Clive Hicks,NaN
12435,Drivers,NaN
12436,Kouros Sarhangzadeh,NaN
12437,Mike Ragogna,NaN
12438,Los Humildes,NaN
12439,Mannakorn,NaN
12440,Malicorne,NaN
12441,Marty Nelson,NaN
12442,Tommy Dempsey,NaN
12443,Peter Schaap,NaN
12444,Méridional Des Cayes,NaN
12445,Stig Järrel,NaN
12446,Ðe lónlí blú bojs,NaN
12447,The Trees,NaN
12448,Reg Livermore,NaN
12449,Little Texas,NaN
12450,Pantxoa Eta Peio,NaN
12451,Emillia Contessa,NaN
12452,Isaac Asimov,Petrovichi
12453,Luis Rico,Potosí Department
12454,Klaus Doldinger's Passport,NaN
12455,Toradertrioen,NaN
12456,Pete Seeger & Arlo Guthrie,NaN
12457,Hamiyet Yüceses,NaN
12458,Almôndegas,NaN
12459,Ronnie Lane's Slim Chance,NaN
12460,Baby Gonzalez,NaN
12461,Carla Whitney,NaN
12462,Sepp Hofleithner Und Seine Musikanten,NaN
12463,Santiago Chalar,Uruguay
12464,Five Bat Night,NaN
12465,Exit 9,NaN
12466,Betty Missiego,NaN
12467,National Lampoon,NaN
12468,Guy Mitchell,NaN
12469,Michael Stanley Band,NaN
12470,Sesame Street's Little Girl,NaN
12471,Joe Glazer,New York City
12472,Kieran White,NaN
12473,Buari,NaN
12474,Sammy Walker,Atlanta
12475,Errobi,NaN
12476,Max Raabe,Lünen
12477,Sammy Boy,NaN
12478,Skah Shah #1,NaN
12479,張露,NaN
12480,Söngfuglarnir,NaN
12481,Morse Code,NaN
12482,1975,NaN
12483,O Terco,NaN
12484,Los Manantiales,NaN
12485,Akira Ishikawa,NaN
12486,Erkut Taçkın,NaN
12487,Paco Silva,NaN
12488,Ljupka Dimitrovska,NaN
12489,John Anderson,County of Moray
12490,George Abdo,NaN
12491,"Mike Gregorio, Vinnie Lafata, Rob Gengo",NaN
12492,Sherbet,NaN
12493,Luidini,NaN
12494,The Atlantic Crossing Drum & Pipe Band,NaN
12495,Sonny & Linda Sharrock,NaN
12496,David Sancious,Asbury Park
12497,The Four Jacks,NaN
12498,Heinrich Mann,Lübeck
12499,Jeff Harrington,NaN
12500,The Archers,NaN
12501,Frazzle And The Frazzletones,NaN
12502,Dave Richmond,Brighton
12503,Hans Petter Hansen,NaN
12504,Vince Howard,NaN
12505,Offenbach,NaN
12506,Sleepy LaBeef,Smackover
12507,Vincenzo Tempera,NaN
12508,La Quinta Faccia,NaN
12509,Synergy,NaN
12510,Joe McDonald,NaN
12511,Juice Newton & Silver Spur,NaN
12512,Melotone Sisters,NaN
12513,Giulio Briccialdi,Terni
12514,Ümit Aksu Orkestrası,NaN
12515,Edward Cliff,NaN
12516,Cartola,Rio de Janeiro
12517,Onéssimo Gomes,NaN
12518,Jan Eggum,Bergen
12519,Þrjú á palli ásamt Sólskinskórnum,NaN
12520,Rasmus Nalle,NaN
12521,Orchestre Tropicana,NaN
12522,Kamal Haasan,Paramakudi
12523,Raul Garcia,Madrid
12524,Robert Klein,The Bronx
12525,Franz Doppler,Lviv
12526,Erhard Bodenschatz,Lichtenberg
12527,Orquestra Nelson Ferreira,NaN
12528,UPP,NaN
12529,Bobby Moore,Barking
12530,Manman Zô,NaN
12531,Gaither Carlton,NaN
12532,Dick Bakker Orchestra,NaN
12533,Всеволод Абдулов,NaN
12534,The Kentucky Colonels,NaN
12535,Bob Connelly,NaN
12536,Dan Seals,McCamey
12537,Rick Kiefer,NaN
12538,Patrick Zabé,NaN
12539,Anthony White,NaN
12540,Đelo Jusić,Dubrovnik
12541,Nilgün Yomolcay,NaN
12542,Felix Slováček,Zlín
12543,Gil Askey,NaN
12544,Joe Beck,NaN
12545,The Band Of Yorkshire Imperial Metals,NaN
12546,Gerry Mulligan|Chet Baker,NaN
12547,Congreso,NaN
12548,田村芽実,NaN
12549,Jean-Claude Vannier,Courbevoie
12550,K. S. L. Swamy,NaN
12551,A. Aimo,NaN
12552,Alain Kan,NaN
12553,"Marty Nelson, William Kirkland, Terence P. Minogue",NaN
12554,Loleatta Holloway,NaN
12555,Enrico Rava,Trieste
12556,Bobby Wilson,NaN
12557,Good Old Boys,NaN
12558,Crazy Cavan,NaN
12559,Mara Dalila,NaN
12560,Raquel Olmedo,NaN
12561,靜婷,NaN
12562,Sweet Blindness,NaN
12563,Rajesh Roshan,Mumbai
12564,Nature's Mystic Moods,NaN
12565,Terry Blackwood,NaN
12566,Tamiko Jones,NaN
12567,Bimbo Jet,NaN
12568,Stan Lee,Manhattan
12569,Freddie Perren,Englewood
12570,Dellie Norton,NaN
12571,Dan McCafferty,Dunfermline
12572,Dorothy Ellis,NaN
12573,Iza Wena,NaN
12574,Ray Dahrouge,NaN
12575,Katri Helena,NaN
12576,Saints,NaN
12577,Lounis Ait Menguellet,Iboudraren
12578,Joe Diorio,NaN
12579,Azize Gencebay,NaN
12580,Azar Lawrence,NaN
12581,Lemming,NaN
12582,Musique De L'air De Paris,NaN
12583,Kaloum Star,NaN
12584,"Rob Stevens, Terence P. Minogue",NaN
12585,Ole Ivars,NaN
12586,"Orville ""Fats"" Noel",NaN
12587,Frederik,Helsinki
12588,Seyhan Karabay,NaN
12589,Misioneros del Espíritu Santo,NaN
12590,Charles Olson,Worcester
12591,Zbigniew Namysłowski Quintet,NaN
12592,Sammy Burdson,NaN
12593,The Ted Heath Band,NaN
12594,Richard Beirach,NaN
12595,Elliott Murphy,Rockville Centre
12596,André van Duin & Frans van Dusschoten,NaN
12597,Esquirols,NaN
12598,Jean-Roger Caussimon,Montrouge
12599,Marilia Pera,NaN
12600,Vic Dickenson,NaN
12601,Jens Book-Jenssen,Bærum
12602,The Black Dyke Mills Band,NaN
12603,Geoff Muldaur,Pelham
12604,The New Topnotes,NaN
12605,Johann Nepomuk David,Eferding
12606,Howard Wales,NaN
12607,Ann Mayo Muir,NaN
12608,George Cables,Brooklyn
12609,Ronnie Boykins,NaN
12610,Luther Allison,NaN
12611,Aydın Tansel,NaN
12612,Chester,France
12613,Fred Cockerham,NaN
12614,Bob Davis,Topeka
12615,Clearlight,NaN
12616,Mine Koşan,NaN
12617,R.N. Sudarshan,NaN
12618,Peter & Freddy,NaN
12619,Franz Josef Breuer,NaN
12620,Yasuada Shinpu,NaN
12621,Tom Petty and the Heartbreakers,NaN
12622,AC/DC,NaN
12623,Ramones,NaN
12624,The Runaways,NaN
12625,The Bellamy Brothers,NaN
12626,Silver,Modena
12627,England Dan,NaN
12628,Raffi,Pekajik
12629,Ramon Ayala Y Sus Bravos Del Norte,NaN
12630,Stephen Bishop,San Diego
12631,L.T.D.,NaN
12632,Deniece Williams,Gary
12633,Firefall,NaN
12634,Rose Royce,NaN
12635,Kenny Rogers,Houston
12636,Boney M.,NaN
12637,David Soul,NaN
12638,Bunny Wailer,Kingston
12639,Warren Zevon,Chicago
12640,Mort Garson,Saint John
12641,The Brothers Johnson,NaN
12642,Pratt & McClain,NaN
12643,Starbuck,NaN
12644,José Maria Napoleón,NaN
12645,Marilyn McCoo,NaN
12646,Henry Gross,NaN
12647,Jennifer Warnes,Seattle
12648,The Stills-Young Band,NaN
12649,Michael Franks,La Jolla
12650,Phyllis Hyman,NaN
12651,Judas Priest,NaN
12652,Flo & Eddie,NaN
12653,Burton Cummings,Winnipeg
12654,Dr. Buzzard's Original Savannah Band,NaN
12655,Southside Johnny And The Asbury Jukes,NaN
12656,Bootsy Collins,Cincinnati
12657,Delbert McClinton,Lubbock
12658,Klaatu,NaN
12659,Marino,NaN
12660,Penguin Cafe Orchestra,NaN
12661,Binomio de Oro,NaN
12662,Lijadu Sisters,NaN
12663,Mighty Diamonds,NaN
12664,Dexter Wansel,NaN
12665,The Wild Tchoupitoulas,NaN
12666,Giorgio Moroder,Urtijëi
12667,Kenny Nolan,Los Angeles
12668,Pat Metheny,Lee's Summit
12669,Blondie,NaN
12670,The Abyssinians,NaN
12671,The Alan Parsons Project,NaN
12672,Aswad,NaN
12673,T. Bolin,NaN
12674,Los Tigrillos,NaN
12675,Chris Hillman,Los Angeles
12676,Nil's Jazz Ensemble,NaN
12677,Chilliwack,NaN
12678,Jaco Pastorius,Norristown
12679,Asha Puthli,Mumbai
12680,Pablo Cruise,NaN
12681,Andy Irvine,London
12682,Linval Thompson,Kingston
12683,Brand X,NaN
12684,陳蘭麗,NaN
12685,Pussycat,NaN
12686,Marijata,NaN
12687,Soul Dog,NaN
12688,Mike Leander,Walthamstow
12689,The Latin Brothers,NaN
12690,Jimmy Rogers,NaN
12691,Funk Factory - Michael Urbaniak,NaN
12692,Sattar,NaN
12693,Warren Haynes,Asheville
12694,Destiny's Child,NaN
12695,David T. Walker,NaN
12696,The Whole Darn Family,NaN
12697,Eddie Henderson,NaN
12698,Camayenne Sofa,NaN
12699,Rhythm Heritage,NaN
12700,Michael Henderson,NaN
12701,James Booker,NaN
12702,Tony Wilson,Salford
12703,Amit Kumar,NaN
12704,Trooper,NaN
12705,Apollo 440,NaN
12706,Cyndi Grecco,NaN
12707,Clannad,NaN
12708,Triumph,NaN
12709,Susan Cadogan,NaN
12710,Jerry Garcia Band,NaN
12711,Cloud One,NaN
12712,Zez Confrey,Peru
12713,Harlem Underground Band,NaN
12714,Stan Rogers,Hamilton
12715,Los Jaivas,NaN
12716,Gerard Lenorman,NaN
12717,Jane Olivor,NaN
12718,Rod Hart,NaN
12719,Matia Bazar,NaN
12720,Loredana Bertè,Port Arthur
12721,Walter Murphy,New York City
12722,Sérgio Sampaio,Cachoeiro de Itapemirim
12723,Cécile Chaminade,Paris
12724,Stan Kenton & His Orchestra,NaN
12725,Las Colombianitas,NaN
12726,Guilherme Arantes,São Paulo
12727,Goblin,Tokyo
12728,Delegation,NaN
12729,Starcastle,NaN
12730,Graham Parker & The Rumour,NaN
12731,Surface,NaN
12732,Kate Wolf,San Francisco
12733,Stuff,NaN
12734,1976,NaN
12735,Angel City,NaN
12736,Jah Lion,NaN
12737,Pinetop Perkins,NaN
12738,Tamuz,NaN
12739,Josmar Flores.,NaN
12740,Blackfoot,NaN
12741,Liverpool Express,NaN
12742,Shakti,NaN
12743,La Maquina De Hacer Pájaros,NaN
12744,Ahmad Kaabour,NaN
12745,Petrus de Cruce,Amiens
12746,Leon & Mary Russell,NaN
12747,"Al Hurricane, Jr.",Albuquerque
12748,Patti Austin,New York City
12749,Artoush,NaN
12750,Jeane Manson,NaN
12751,Thomas Herslöf,NaN
12752,Jeannie Reynolds,NaN
12753,Mass Production,NaN
12754,Nikos Xilouris,Rethymno
12755,Beatriz Beigbeder,NaN
12756,Mother's Finest,NaN
12757,Patsy Gallant,NaN
12758,Archie Fisher,Glasgow
12759,Toconao,NaN
12760,Charlie Haden,Shenandoah
12761,Alan Tew,NaN
12762,Les Dudek,Quonset Point Air National Guard Station
12763,Benitez and Nebula,NaN
12764,General Johnson,Norfolk
12765,Wganda Kenya,NaN
12766,The Babys,NaN
12767,Chuck Senrick,NaN
12768,Ronnie D'Addario,NaN
12769,Howard Ashman,Baltimore
12770,International Harvester,NaN
12771,鈴木 弘,NaN
12772,Third World,NaN
12773,Disco Dub Band,NaN
12774,Rubinho,NaN
12775,Racing Cars,NaN
12776,Chico Cervantes Y Su Banda,NaN
12777,John Leach,NaN
12778,Wah Wah Watson,NaN
12779,Ola Belle Reed,NaN
12780,Renata Lu,NaN
12781,Beth Carvalho,NaN
12782,Lake,NaN
12783,Enchantment,NaN
12784,Maddy Prior,NaN
12785,Rosy & Andres,NaN
12786,Zeca Do Trombone,NaN
12787,Marilene,NaN
12788,Sammy Hagar,Monterey
12789,Pop Concerto Orchestra,NaN
12790,Gwen McCrae,NaN
12791,Kenny Wheeler,St. Catharines
12792,Chris Spedding,Staveley
12793,Sarah Webster Fabio,NaN
12794,Zachary Richard,Scott
12795,Harry James,NaN
12796,Tahira Syed,NaN
12797,Jon Jelmer,NaN
12798,Johnny Bristol,Morganton
12799,Jackson Sisters,NaN
12800,Graham Parker,London
12801,Gökben,NaN
12802,John Mellencamp,Seymour
12803,Bill Whelan,Limerick
12804,Watusi,NaN
12805,Marilyn McCoo & Billy Davis Jr.,NaN
12806,Willis Jackson,NaN
12807,El Coco,NaN
12808,Puerto Rico All Stars,NaN
12809,Sugar Billy,NaN
12810,Taeko Ohnuki,NaN
12811,Manu Dibango,Douala
12812,Black Ivory,NaN
12813,Beyaz Kelebekler,NaN
12814,Gerard De Vries,NaN
12815,Peter Baumann,Zürich
12816,Pete Dunaway,São Paulo
12817,Bill Keith,Tahlequah
12818,Sweet Thunder,NaN
12819,Freddy Cole,NaN
12820,Liz Mitchell,NaN
12821,Diana Express,NaN
12822,Salim Dündar,NaN
12823,Hermanos Barrios,NaN
12824,Helge Borglund,NaN
12825,David Grisman,Hackensack
12826,Allan Holdsworth,Bradford
12827,Ricky Skaggs,Lawrence County
12828,Pavlov's Dog,NaN
12829,Normaal,NaN
12830,Rita Engebretsen,NaN
12831,Bebeto,São Paulo
12832,Queen Yahna,NaN
12833,Dyango/Mijares,NaN
12834,Rusty Wier,Corpus Christi
12835,Cvartetul de jazz Paul Weiner,NaN
12836,Joe Rodriguez Y Su Grupo Latino,NaN
12837,"Herbie Mann, Minoru Muraoka & His New Dimension",NaN
12838,Nayyara Noor,NaN
12839,Lúdó og Stefán,NaN
12840,15-60-75 (The Numbers Band),NaN
12841,Miki Gavrielov,NaN
12842,Andrei Mironov,Moscow
12843,Barbara Fairchild,Knobel
12844,Milton Hamilton,NaN
12845,Vern Gosdin,Woodland
12846,Alfredo Gutiérrez y sus Acordeones Dorados,NaN
12847,Adam de la Halle,Arras
12848,The 4 Levels Of Existence,NaN
12849,Steve Reid,NaN
12850,Fredrik Vahle,Stendal
12851,Shirley Maclaine,NaN
12852,Edna Wright,NaN
12853,The Classics,NaN
12854,Bob Dufford,NaN
12855,Fat Larry's Band,NaN
12856,Ragnarök,NaN
12857,The Balfa Brothers,NaN
12858,Udo Lindenberg,NaN
12859,Four Below Zero,NaN
12860,John Aler,NaN
12861,Pat Travers,NaN
12862,Barrington Pheloung,Manly
12863,Black Disco,NaN
12864,Carol Goldsmith,NaN
12865,Leo Valdez,NaN
12866,Claus Ogerman,Racibórz
12867,Michael Bolotin,NaN
12868,Peter Lemongello,NaN
12869,Kees Van Kooten,NaN
12870,The Quick,NaN
12871,Albatros,NaN
12872,Scott Wesley Brown,NaN
12873,I-Roy,NaN
12874,5000 Volts,NaN
12875,Ottar 'Big Hand' Johansen,NaN
12876,Olga Guðrún Árnadóttir,NaN
12877,Randy Edelman,Paterson
12878,Commander Perkins,NaN
12879,Azuquita,NaN
12880,La Conspiración,NaN
12881,Vyto B,NaN
12882,Philippe de Vitry,Vitry-en-Artois
12883,Un Solo Pueblo,NaN
12884,Sid Selvidge,NaN
12885,Los Socios Del Ritmo,NaN
12886,Mink DeVille,NaN
12887,F. Weyer,NaN
12888,Bat McGrath,NaN
12889,Avan Samba,NaN
12890,Collin Walcott,NaN
12891,Don Pullen,Roanoke
12892,Supernaut,NaN
12893,Parvin,NaN
12894,Kinky Friedman,Chicago
12895,Ruchama Raz,NaN
12896,Julia McKenzie,Enfield Town
12897,Prince Far I,Spanish Town
12898,ókunnur,NaN
12899,Colosseum II,NaN
12900,Sadık Gürbüz,NaN
12901,Narada Michael Walden,Kalamazoo
12902,Stomu Yamash'ta,NaN
12903,Red Norvo Trio,NaN
12904,Rocío Jurado,NaN
12905,Porsuigieco,NaN
12906,Larry Graham,Beaumont
12907,Mikey Dread,Port Antonio
12908,Dick Khoza,NaN
12909,John Edwards,Seneca
12910,Paris,San Francisco
12911,Jimmy C. Newman,Mamou
12912,Instant Funk,NaN
12913,OshO,NaN
12914,Soul Train Gang,NaN
12915,Ivan Mladek,NaN
12916,Orquesta de la Sociedad de Música de Viena,NaN
12917,Fool's Gold,NaN
12918,The Notations,NaN
12919,Osho (feat. Osho),NaN
12920,Ruy Maurity,Paraíba do Sul
12921,Balança Povo,NaN
12922,Steve Gibb,London
12923,Shirley Carvalhaes,NaN
12924,Syli Authentic,NaN
12925,Dee Dee Bridgewater,Memphis
12926,Martine Bijl,Amsterdam
12927,Passe-Partout,NaN
12928,Faragher Brothers,NaN
12929,Lee Towers,NaN
12930,Gillan,NaN
12931,Iceberg Slim,Chicago
12932,Funky Christmas,NaN
12933,Ricky Van Shelton,Danville
12934,Super Elcados,NaN
12935,MIlton Henry,NaN
12936,Coupé Cloué,NaN
12937,Wayne County & the Backstreet Boys,NaN
12938,John Townley,NaN
12939,Starz,NaN
12940,Besombes,NaN
12941,Deaf School,NaN
12942,Alan Baker,NaN
12943,Trinidad Steel Band,NaN
12944,Judith Akoschky,NaN
12945,The Walkers,NaN
12946,Dub Specialist,NaN
12947,Larry Santos,NaN
12948,Cano,NaN
12949,Carol Williams,NaN
12950,Wal Santana,NaN
12951,KVV Alaaf Kirchroa 1936,NaN
12952,John Foley,NaN
12953,Apelsin,NaN
12954,Tracy Huang,NaN
12955,Billy Ray Cyrus,Flatwoods
12956,Knots,NaN
12957,Som Nosso,NaN
12958,Tony Carr,NaN
12959,Gentle Faith,NaN
12960,Randy Crawford & World Jazz Association All Star Band,NaN
12961,Dan Schutte,Neenah
12962,Léonin,NaN
12963,Sonia Santos,NaN
12964,Impact,NaN
12965,La Rondallita,NaN
12966,Jon English,Hampstead
12967,Jamshid Shaybani,NaN
12968,Aurra,NaN
12969,Kjell Johansson & Stellan Bengtsson,NaN
12970,Tor Inge Kristiansn,NaN
12971,M'Bamina,NaN
12972,H`ô Chí Minh,NaN
12973,Shajarian,NaN
12974,Sohail Rana,Agra
12975,Pachuco y La Cubanacán,NaN
12976,Danny Denzongpa,NaN
12977,Bixo Da Seda,NaN
12978,Andre Mauro,NaN
12979,Fafá de Belém,NaN
12980,Dick Haymes,Buenos Aires
12981,Cheech And Chong Starring Ralph & Herbie,NaN
12982,British Lions,NaN
12983,Bollebandet,NaN
12984,Millicent Martin,NaN
12985,Las Siete Potencias,NaN
12986,Roots Radics,NaN
12987,Carolyn Franklin,Memphis
12988,Alphonso Johnson,NaN
12989,Lonnie Donegan,Glasgow
12990,L.A. Express,NaN
12991,Barry Biggs,NaN
12992,Kyoto Jazz Massive,NaN
12993,Joe Hickerson,NaN
12994,Bifrost,NaN
12995,Hengameh Akhavan,NaN
12996,İzzet Altınmeşe,NaN
12997,John Scoggins,NaN
12998,Gary Morris,Fort Worth
12999,Pablo Castañejo,NaN
13000,Lloyd McNeill,NaN
13001,Percy French,County Roscommon
13002,Quico,NaN
13003,Jah T,NaN
13004,Guimaraes,NaN
13005,Steve Marriott,Manor Park
13006,Roger Glenn,NaN
13007,O'Donell Levy,NaN
13008,Helgi Halldórsson,NaN
13009,De Heikrekels,NaN
13010,Carlo Briccialdi,NaN
13011,GAC - Vozes na Luta,NaN
13012,Matt Molloy,NaN
13013,Stampen En Dagen,NaN
13014,Eve Brenner,NaN
13015,Funky Kings,NaN
13016,Agnes Buen Garnås,NaN
13017,Disko Band,NaN
13018,Ache,NaN
13019,Oya,NaN
13020,Charlie,Lyon
13021,Centerpartiets Ungdomsförbund,NaN
13022,Les Hurdle,NaN
13023,Angelo Branduardi,Cuggiono
13024,Chequers,NaN
13025,Alston Jack,NaN
13026,Larry Henley,Arp
13027,Soren Winqvist Instruments Mikael Zakrisson Sa,NaN
13028,Sun,NaN
13029,Carl Hjalmby,NaN
13030,Aziz Sahmaoui,NaN
13031,Laurence Vanay,NaN
13032,The Not Ready For Prime Time Players,NaN
13033,Kim Larsen,Copenhagen
13034,Super Som Lord,NaN
13035,Beto Zabaleta,NaN
13036,Arthur Prysock,NaN
13037,Grete Lill Tangen,NaN
13038,The New Minstrels,NaN
13039,Raimonds Pauls,Riga
13040,Bobby Whitlock,Memphis
13041,Boule Noire,NaN
13042,David Kernan,NaN
13043,Mikko Alatalo,Kuivaniemi
13044,Harry Toledo,NaN
13045,Catherine Christer Hennix,NaN
13046,Silvano Chimenti,NaN
13047,Roger Doucet,NaN
13048,Johnny Ventura y su Combo,NaN
13049,Tata Vega,NaN
13050,The Shirts,NaN
13051,Djet-X,NaN
13052,Aylin Urgal,NaN
13053,Mandy und die Bambis,NaN
13054,Arthur F. Schrader,NaN
13055,Mercedes Sosa,NaN
13056,Barnaby Bye,NaN
13057,Roy St. John,NaN
13058,Henry Cowell,Menlo Park
13059,Freeson,NaN
13060,歐陽菲菲,NaN
13061,Alan White,Bridgeport
13062,Sulakshana Pandit,NaN
13063,Rúnar Júlíusson,NaN
13064,Wilson de Almeida,NaN
13065,Şükran Ay,NaN
13066,K.T. Oslin,NaN
13067,Peter King,Springfield
13068,Tomasz Stańko,Rzeszów
13069,John Du Cann,NaN
13070,Mike Mower,NaN
13071,Motvind,NaN
13072,Dinka people of Abyei,NaN
13073,Sesso Matto,NaN
13074,Achim Reichel,Hamburg
13075,Patrick Moraz,Morges
13076,Jazz Celula,NaN
13077,Mike Moran,Leeds
13078,Fredrick E. Bigelow,NaN
13079,Shadowfax,NaN
13080,Skyy,NaN
13081,Liam Weldon,NaN
13082,Prince Jazzbo,NaN
13083,Henk Wijngaard,NaN
13084,Arnold Børud,Askim
13085,Gilde Duo,NaN
13086,Los Ahijados,NaN
13087,Roya,NaN
13088,Tanju Okan,NaN
13089,Von Lmo,NaN
13090,Rüştü Asyalı,NaN
13091,Margie Adam,Lompoc
13092,Country Snakes,NaN
13093,Tvers,NaN
13094,Os Ritmistas Brasileiros,NaN
13095,Canta U Populu Corsu,NaN
13096,Theo & Marjan,NaN
13097,Bojong Jati village ketuk tilu ensemble,NaN
13098,Charlotte Höglund,NaN
13099,"Dolenz, Jones, Boyce & Hart",NaN
13100,Ozziddi,NaN
13101,Ricochet,Saint Petersburg
13102,大杉久美子,NaN
13103,The Benedictine Nuns of St. Cecilia's Abbey,NaN
13104,Golchin,NaN
13105,Charity Brown,NaN
13106,The Bushwackers Band,NaN
13107,Lole Y Manuel,NaN
13108,Laurie Lingo & The Dipsticks,NaN
13109,Conscious Minds,NaN
13110,Wiener Operettenorchester,NaN
13111,Nana Caymmi,NaN
13112,Patrizio,NaN
13113,Prince Far 1,NaN
13114,Annie Herring,NaN
13115,Mango,Lagonegro
13116,The Rosslyn Mountain Boys,NaN
13117,Seçil Heper,NaN
13118,Tony El Gitano,NaN
13119,陳秋霞,NaN
13120,Tri Atma,NaN
13121,Parker McGee,NaN
13122,Nemo,NaN
13123,Ongo ensemble,NaN
13124,Yeliz,NaN
